store_id,store_name,store_city,store_state,store_zip,store_open_date,store_closed_date
STORE-1135,Anycompany - store-1135,San Diego,DC,99953,2005-01-01,9999-12-31
STORE-6420,Anycompany - store-6420,San Francisco,AZ,99412,2005-01-01,9999-12-32
STORE-1938,Anycompany - store-1938,Chicago,TX,49598,2005-01-01,9999-12-33
STORE-5059,Anycompany - store-5059,Charlotte,TX,91800,2005-01-01,9999-12-34
STORE-9420,Anycompany - store-9420,Washington,PA,31358,2005-01-01,9999-12-35
STORE-5123,Anycompany - store-5123,Indianapolis,IN,23007,2005-01-01,9999-12-36
STORE-6507,Anycompany - store-6507,Los Angeles,FL,73893,2005-01-01,9999-12-37
STORE-3134,Anycompany - store-3134,Jacksonville,CA,79606,2005-01-01,9999-12-38
STORE-5886,Anycompany - store-5886,Fort Worth,CA,39314,2005-01-01,9999-12-39
STORE-6381,Anycompany - store-6381,Indianapolis,IN,38781,2005-01-01,9999-12-40
STORE-8526,Anycompany - store-8526,Philadelphia,AZ,72755,2005-01-01,9999-12-41
STORE-4254,Anycompany - store-4254,San Diego,AZ,24796,2005-01-01,9999-12-42
STORE-8739,Anycompany - store-8739,Indianapolis,IN,29117,2005-01-01,9999-12-43
STORE-9135,Anycompany - store-9135,Fort Worth,IL,62106,2005-01-01,9999-12-44
STORE-3153,Anycompany - store-3153,Dallas,CA,19634,2005-01-01,9999-12-45
STORE-1374,Anycompany - store-1374,Houston,CA,55848,2005-01-01,9999-12-46
STORE-8237,Anycompany - store-8237,Los Angeles,PA,86117,2005-01-01,9999-12-47
STORE-8485,Anycompany - store-8485,Philadelphia,PA,29053,2005-01-01,9999-12-48
STORE-9412,Anycompany - store-9412,Jacksonville,TX,45627,2005-01-01,9999-12-49
STORE-7351,Anycompany - store-7351,Philadelphia,FL,69619,2005-01-01,9999-12-50
STORE-2838,Anycompany - store-2838,Indianapolis,IN,98890,2005-01-01,9999-12-51
STORE-8322,Anycompany - store-8322,San Francisco,IN,82318,2005-01-01,9999-12-52
STORE-4910,Anycompany - store-4910,Charlotte,TX,78888,2005-01-01,9999-12-53
STORE-2734,Anycompany - store-2734,Houston,IL,25207,2005-01-01,9999-12-54
STORE-9009,Anycompany - store-9009,San Diego,PA,36580,2005-01-01,9999-12-55
STORE-2248,Anycompany - store-2248,Indianapolis,AZ,40601,2005-01-01,9999-12-56
STORE-6519,Anycompany - store-6519,Denver,NC,38562,2005-01-01,9999-12-57
STORE-4469,Anycompany - store-4469,San Francisco,CA,27137,2005-01-01,9999-12-58
STORE-4830,Anycompany - store-4830,Denver,CA,27334,2005-01-01,9999-12-59
STORE-1696,Anycompany - store-1696,Chicago,CA,43897,2005-01-01,9999-12-60
STORE-4668,Anycompany - store-4668,San Antonio,TX,48687,2005-01-01,9999-12-61
STORE-6790,Anycompany - store-6790,Chicago,NY,91531,2005-01-01,9999-12-62
STORE-6986,Anycompany - store-6986,Houston,TX,28473,2005-01-01,9999-12-63
STORE-6922,Anycompany - store-6922,San Antonio,CO,54855,2005-01-01,9999-12-64
STORE-5349,Anycompany - store-5349,Denver,TX,34993,2005-01-01,9999-12-65
STORE-8019,Anycompany - store-8019,San Antonio,CA,61316,2005-01-01,9999-12-66
STORE-7770,Anycompany - store-7770,Philadelphia,FL,52718,2005-01-01,9999-12-67
STORE-7799,Anycompany - store-7799,Los Angeles,NY,36290,2005-01-01,9999-12-68
STORE-4462,Anycompany - store-4462,Charlotte,FL,78663,2005-01-01,9999-12-69
STORE-2830,Anycompany - store-2830,Charlotte,FL,39357,2005-01-01,9999-12-70
STORE-8818,Anycompany - store-8818,Denver,CO,26168,2005-01-01,9999-12-71
STORE-8955,Anycompany - store-8955,Columbus,TX,17196,2005-01-01,9999-12-72
STORE-9665,Anycompany - store-9665,Los Angeles,IL,28522,2005-01-01,9999-12-73
STORE-2343,Anycompany - store-2343,San Antonio,TX,18101,2005-01-01,9999-12-74
STORE-7617,Anycompany - store-7617,Phoenix,AZ,44277,2005-01-01,9999-12-75
STORE-3292,Anycompany - store-3292,Chicago,OH,86378,2005-01-01,9999-12-76
STORE-6607,Anycompany - store-6607,Indianapolis,TX,77291,2005-01-01,9999-12-77
STORE-3617,Anycompany - store-3617,New York,CA,47324,2005-01-01,9999-12-78
STORE-4061,Anycompany - store-4061,Philadelphia,DC,85335,2005-01-01,9999-12-79
STORE-1699,Anycompany - store-1699,New York,IN,89026,2005-01-01,9999-12-80
STORE-3041,Anycompany - store-3041,San Antonio,TX,11521,2005-01-01,9999-12-81
STORE-6578,Anycompany - store-6578,Houston,NC,85514,2005-01-01,9999-12-82
STORE-6941,Anycompany - store-6941,San Diego,CA,55213,2005-01-01,9999-12-83
STORE-8143,Anycompany - store-8143,San Jose,WA,85842,2005-01-01,9999-12-84
STORE-4917,Anycompany - store-4917,San Jose,CA,19481,2005-01-01,9999-12-85
STORE-2563,Anycompany - store-2563,Charlotte,NC,14769,2005-01-01,9999-12-86
STORE-1288,Anycompany - store-1288,Jacksonville,CA,91699,2005-01-01,9999-12-87
STORE-4696,Anycompany - store-4696,Chicago,CA,96822,2005-01-01,9999-12-88
STORE-9877,Anycompany - store-9877,Austin,PA,66059,2005-01-01,9999-12-89
STORE-4147,Anycompany - store-4147,Fort Worth,CA,46455,2005-01-01,9999-12-90
STORE-2765,Anycompany - store-2765,San Diego,WA,28460,2005-01-01,9999-12-91
STORE-7309,Anycompany - store-7309,Dallas,NC,71630,2005-01-01,9999-12-92
STORE-3677,Anycompany - store-3677,San Diego,AZ,32706,2005-01-01,9999-12-93
STORE-8126,Anycompany - store-8126,San Diego,FL,62948,2005-01-01,9999-12-94
STORE-3717,Anycompany - store-3717,Denver,CA,82233,2005-01-01,9999-12-95
STORE-4704,Anycompany - store-4704,San Francisco,CA,81182,2005-01-01,9999-12-96
STORE-2313,Anycompany - store-2313,Dallas,OH,80561,2005-01-02,9999-12-97
STORE-6245,Anycompany - store-6245,San Diego,IN,54874,2005-01-02,9999-12-98
STORE-6836,Anycompany - store-6836,New York,DC,16001,2005-01-02,9999-12-99
STORE-7652,Anycompany - store-7652,Charlotte,IN,13320,2005-01-02,9999-12-100
STORE-1222,Anycompany - store-1222,Indianapolis,TX,92800,2005-01-02,9999-12-101
STORE-5623,Anycompany - store-5623,Charlotte,NY,61706,2005-01-02,9999-12-102
STORE-1618,Anycompany - store-1618,Phoenix,CA,57612,2005-01-02,9999-12-103
STORE-7201,Anycompany - store-7201,San Jose,TX,17490,2005-01-02,9999-12-104
STORE-1148,Anycompany - store-1148,Indianapolis,CA,47076,2005-01-02,9999-12-105
STORE-9315,Anycompany - store-9315,Washington,IL,98665,2005-01-02,9999-12-106
STORE-7640,Anycompany - store-7640,Houston,FL,51544,2005-01-02,9999-12-107
STORE-7146,Anycompany - store-7146,San Jose,TX,50460,2005-01-02,9999-12-108
STORE-3796,Anycompany - store-3796,Chicago,TX,77749,2005-01-02,9999-12-109
STORE-8369,Anycompany - store-8369,Columbus,CO,75291,2005-01-02,9999-12-110
STORE-6436,Anycompany - store-6436,Phoenix,CA,16428,2005-01-02,9999-12-111
STORE-5666,Anycompany - store-5666,Fort Worth,DC,72482,2005-01-02,9999-12-112
STORE-1349,Anycompany - store-1349,New York,TX,32462,2005-01-02,9999-12-113
STORE-4328,Anycompany - store-4328,Austin,TX,93380,2005-01-02,9999-12-114
STORE-3624,Anycompany - store-3624,Charlotte,CA,94083,2005-01-02,9999-12-115
STORE-3957,Anycompany - store-3957,Fort Worth,TX,65532,2005-01-02,9999-12-116
STORE-6463,Anycompany - store-6463,Washington,CA,15926,2005-01-02,9999-12-117
STORE-3210,Anycompany - store-3210,New York,CA,58293,2005-01-02,9999-12-118
STORE-1323,Anycompany - store-1323,Denver,PA,63135,2005-01-02,9999-12-119
STORE-8271,Anycompany - store-8271,Jacksonville,TX,75094,2005-01-02,9999-12-120
STORE-7076,Anycompany - store-7076,Austin,NC,47399,2005-01-02,9999-12-121
STORE-6538,Anycompany - store-6538,Indianapolis,OH,43027,2005-01-02,9999-12-122
STORE-1030,Anycompany - store-1030,Houston,TX,99462,2005-01-02,9999-12-123
STORE-3608,Anycompany - store-3608,Austin,WA,47601,2005-01-02,9999-12-124
STORE-7816,Anycompany - store-7816,Austin,TX,83897,2005-01-02,9999-12-125
STORE-4617,Anycompany - store-4617,Los Angeles,CA,71366,2005-01-02,9999-12-126
STORE-3939,Anycompany - store-3939,Washington,TX,54870,2005-01-02,9999-12-127
STORE-3112,Anycompany - store-3112,Columbus,PA,75526,2005-01-02,9999-12-128
STORE-4894,Anycompany - store-4894,Columbus,TX,75044,2005-01-02,9999-12-129
STORE-8644,Anycompany - store-8644,San Antonio,IN,41524,2005-01-02,9999-12-130
STORE-8465,Anycompany - store-8465,New York,WA,11234,2005-01-02,9999-12-131
STORE-4600,Anycompany - store-4600,San Jose,DC,75620,2005-01-02,9999-12-132
STORE-5129,Anycompany - store-5129,Fort Worth,TX,19881,2005-01-02,9999-12-133
STORE-2585,Anycompany - store-2585,Dallas,IN,62434,2005-01-02,9999-12-134
STORE-3459,Anycompany - store-3459,Los Angeles,AZ,22452,2005-01-02,9999-12-135
STORE-8453,Anycompany - store-8453,Jacksonville,CA,83974,2005-01-02,9999-12-136
STORE-4259,Anycompany - store-4259,Fort Worth,OH,72848,2005-01-02,9999-12-137
STORE-2780,Anycompany - store-2780,San Antonio,CA,39781,2005-01-02,9999-12-138
STORE-5449,Anycompany - store-5449,Columbus,FL,80769,2005-01-02,9999-12-139
STORE-4945,Anycompany - store-4945,New York,WA,77244,2005-01-02,9999-12-140
STORE-2587,Anycompany - store-2587,New York,TX,73788,2005-01-02,9999-12-141
STORE-5690,Anycompany - store-5690,Phoenix,TX,28104,2005-01-02,9999-12-142
STORE-4185,Anycompany - store-4185,Phoenix,DC,42517,2005-01-02,9999-12-143
STORE-8950,Anycompany - store-8950,Phoenix,DC,11420,2005-01-02,9999-12-144
STORE-3193,Anycompany - store-3193,Los Angeles,OH,81873,2005-01-02,9999-12-145
STORE-8470,Anycompany - store-8470,New York,PA,34092,2005-01-02,9999-12-146
STORE-5098,Anycompany - store-5098,San Jose,CO,20546,2005-01-02,9999-12-147
STORE-9855,Anycompany - store-9855,Austin,OH,90329,2005-01-02,9999-12-148
STORE-2929,Anycompany - store-2929,Denver,TX,89536,2005-01-02,9999-12-149
STORE-8372,Anycompany - store-8372,Houston,CO,21080,2005-01-02,9999-12-150
STORE-5011,Anycompany - store-5011,San Jose,OH,83580,2005-01-02,9999-12-151
STORE-9410,Anycompany - store-9410,San Antonio,IN,84902,2005-01-02,9999-12-152
STORE-7377,Anycompany - store-7377,Jacksonville,CA,67699,2005-01-02,9999-12-153
STORE-9441,Anycompany - store-9441,Los Angeles,IL,62376,2005-01-02,9999-12-154
STORE-1126,Anycompany - store-1126,Columbus,TX,11791,2005-01-02,9999-12-155
STORE-7619,Anycompany - store-7619,Phoenix,CO,89093,2005-01-02,9999-12-156
STORE-1247,Anycompany - store-1247,Charlotte,IN,50697,2005-01-02,9999-12-157
STORE-9621,Anycompany - store-9621,Chicago,TX,81150,2005-01-02,9999-12-158
STORE-6667,Anycompany - store-6667,Indianapolis,CA,25390,2005-01-02,9999-12-159
STORE-7743,Anycompany - store-7743,Phoenix,CA,30671,2005-01-02,9999-12-160
STORE-2370,Anycompany - store-2370,Columbus,PA,56076,2005-01-02,9999-12-161
STORE-7621,Anycompany - store-7621,San Antonio,CA,32877,2005-01-02,9999-12-162
STORE-5704,Anycompany - store-5704,Jacksonville,WA,15723,2005-01-02,9999-12-163
STORE-4139,Anycompany - store-4139,San Diego,CA,48046,2005-01-02,9999-12-164
STORE-5980,Anycompany - store-5980,New York,NY,93445,2005-01-02,9999-12-165
STORE-1244,Anycompany - store-1244,Los Angeles,OH,85058,2005-01-02,9999-12-166
STORE-9725,Anycompany - store-9725,Fort Worth,CA,96389,2005-01-02,9999-12-167
STORE-4264,Anycompany - store-4264,San Jose,NY,58316,2005-01-02,9999-12-168
STORE-8837,Anycompany - store-8837,San Jose,TX,27813,2005-01-02,9999-12-169
STORE-6401,Anycompany - store-6401,Austin,TX,60297,2005-01-02,9999-12-170
STORE-8869,Anycompany - store-8869,New York,CA,18044,2005-01-02,9999-12-171
STORE-8533,Anycompany - store-8533,Seattle,PA,36897,2005-01-02,9999-12-172
